video,method,frame_count,duration_seconds,candidate_count,selected_indices,selection_seconds,generation_seconds,total_seconds,max_cuda_memory_mb,response
examples/american_fire.mp4,uniform,8068,268.9247,0,"[336, 1008, 1680, 2353, 3025, 3697, 4370, 5042, 5714, 6386, 7058, 7731]",0.0002,13.1141,13.1143,7134.37,"The anomaly event is a series of intense and destructive fires, with flames engulfing buildings, trees, and debris, and thick smoke rising into the sky, indicating a catastrophic event"
examples/american_fire.mp4,ats,8068,268.9247,505,"[48, 1056, 1744, 2336, 3072, 3680, 4464, 5408, 6096, 6688, 7360, 8064]",196.7139,14.1286,210.8426,7134.37,"The anomaly event is a series of intense and destructive fires, with flames engulfing buildings, trees, and other structures, and thick smoke filling the air, indicating a catastrophic event"
examples/american_fire.mp4,fast_ats,8068,268.9247,229,"[144, 1008, 1728, 2144, 3025, 3216, 4848, 5042, 5952, 6528, 7058, 8064]",94.0187,13.166,107.1847,7134.37,"The anomaly event is a series of intense and destructive fires, with flames engulfing buildings and trees, and thick smoke filling the air, which is a common occurrence in the context of a wildfire"
examples/car_accident.mp4,uniform,120,4.0,0,"[4, 14, 24, 34, 44, 54, 64, 73, 83, 93, 103, 113]",0.0002,13.0582,13.0583,7134.37,"The anomaly event involves a sudden and intense release of energy, characterized by a large explosion that occurs in the middle of the video, followed by a rapid dispersal of smoke and debris, and a sudden change in the crowd's behavior, with some individuals running away from the source of the explosion"
examples/car_accident.mp4,ats,120,4.0,8,"[0, 16, 16, 32, 48, 48, 64, 64, 80, 96, 96, 112]",3.0308,13.1441,16.1749,7134.37,"The anomaly event involves a series of chaotic and violent scenes, including a person in a red cap and black jacket running away from a vehicle, a group of people running away from a vehicle, and a group of people running away from a vehicle, with smoke and debris visible in the background"
examples/car_accident.mp4,fast_ats,120,4.0,8,"[0, 14, 16, 32, 44, 48, 64, 74, 80, 96, 103, 112]",3.0319,12.5243,15.5562,7134.37,"The anomaly event involves a series of chaotic and violent scenes, including a person in a red helmet riding a green motorbike, a large explosion occurring in the middle of the street, and a group of people running away from the explosion"
examples/earthquake.mp4,uniform,411,13.6693,0,"[17, 51, 85, 119, 154, 188, 222, 256, 290, 325, 359, 393]",0.0002,12.4249,12.4251,7134.37,"The anomaly event involves a group of people running across the street, which is an unusual and potentially dangerous behavior in a public setting, deviating from the normal flow of traffic and pedestrian activity."
examples/earthquake.mp4,ats,411,13.6693,26,"[80, 112, 144, 176, 208, 224, 256, 288, 336, 368, 400, 400]",9.6771,12.3281,22.0053,7134.37,"The anomaly event is a sudden and unexpected occurrence of a car accident, which is a sudden and unexpected event that disrupts the normal flow of traffic and pedestrian activity in the video."
examples/earthquake.mp4,fast_ats,411,13.6693,26,"[17, 51, 96, 128, 153, 176, 224, 256, 304, 352, 359, 384]",9.8634,12.4625,22.3259,7134.37,"The anomaly event is a sudden and unexpected occurrence of a car accident, which is a sudden and unexpected event that disrupts the normal flow of traffic and pedestrian activity in the video."
examples/robbery.mp4,uniform,2730,101.111,0,"[113, 340, 568, 795, 1023, 1250, 1477, 1705, 1932, 2160, 2387, 2615]",0.0002,13.1439,13.1441,7134.37,"The anomaly event involves a man in a blue hoodie and blue jeans entering the house through a door, and then leaving the house through a door, suggesting a suspicious or unauthorized entry"
examples/robbery.mp4,ats,2730,101.111,171,"[16, 144, 272, 400, 528, 816, 1008, 1168, 1584, 1904, 2160, 2720]",65.7786,12.8245,78.6031,7134.37,"The anomaly event involves a man in a dark blue hoodie and white gloves breaking into a house, entering a room, and then leaving the house, suggesting a potential burglary or theft"
examples/robbery.mp4,fast_ats,2730,101.111,141,"[32, 176, 280, 341, 424, 600, 960, 1023, 1200, 1705, 2388, 2592]",55.9014,12.9182,68.8196,7134.37,"The anomaly event involves the man in gray clothes breaking into the house, which is a suspicious and illegal act, and then leaving the house, suggesting a potential burglary or theft"
examples/superwind.mp4,uniform,7034,234.4663,0,"[293, 879, 1465, 2051, 2637, 3223, 3809, 4396, 4982, 5568, 6154, 6740]",0.0002,13.3672,13.3674,7134.37,"The anomaly event is a tornado, which is a severe and destructive weather phenomenon characterized by a rotating column of air that extends from the base of a cloud to the ground, often accompanied by strong winds and heavy rainfall"
examples/superwind.mp4,ats,7034,234.4663,440,"[96, 1120, 2128, 2768, 3424, 3920, 4400, 4864, 5344, 5904, 6384, 7024]",169.988,14.4309,184.419,7134.37,"The anomaly event is a tornado, which is a severe and destructive weather phenomenon characterized by a rotating column of air that extends from the base of a cloud to the ground, often accompanied by strong winds and heavy rainfall"
examples/superwind.mp4,fast_ats,7034,234.4663,207,"[192, 879, 2448, 2637, 3632, 4032, 4395, 4608, 4976, 5664, 6154, 7008]",84.8045,13.2513,98.0558,7134.37,"The anomaly event is a tornado, which is a severe weather phenomenon characterized by a rotating column of air that extends from the base of a cloud to the ground, often accompanied by strong winds and heavy rainfall"
